label,value_1,value_2,value_3
geometry,"POLYGON ((-122.275993204 37.790432905, -122.276693204 37.7894329040001, -122.277093204 37.788232904, -122.277093204 37.7858329040001, -122.277093204 37.7853329050001, -122.277098204 37.7844489030001, -122.277093204 37.7840329050001, -122.277093203 37.782336904, -122.277093204 37.7808329040001, -122.277113204 37.7799639030001, -122.280146203 37.780106904, -122.280920204 37.7801429030001, -122.281416204 37.7801659030001, -122.282693205 37.7802329030001, -122.284193204 37.780332903, -122.285293205 37.7802329030001, -122.286925205 37.7802329040001, -122.288293204 37.7802329030001, -122.289493205 37.7802329020001, -122.291293206 37.780332903, -122.291717206 37.7802619020001, -122.291893206 37.7802329020001, -122.291793205 37.7823329030001, -122.291793206 37.7831329030001, -122.291834206 37.783753903, -122.291793206 37.783832902, -122.291793206 37.784632904, -122.291793206 37.785132903, -122.291793206 37.786432903, -122.292093207 37.787332903, -122.293893207 37.788932904, -122.294321206 37.789338903, -122.294393206 37.789432903, -122.294837208 37.7898079030001, -122.294893208 37.7908329030001, -122.293893208 37.7911329040001, -122.290893207 37.7920329040001, -122.290593207 37.7909329030001, -122.290293206 37.7920329030001, -122.289893206 37.790932904, -122.289593207 37.792332904, -122.289193206 37.790932904, -122.288693207 37.7924329040001, -122.288393207 37.790932904, -122.287893206 37.792532904, -122.280693205 37.7926329040001, -122.277293204 37.791832904, -122.277093204 37.7915329040001, -122.275993204 37.790432905))","POLYGON ((-122.275993204 37.790432905, -122.276693204 37.7894329040001, -122.277093204 37.788232904, -122.277093204 37.7858329040001, -122.277093204 37.7853329050001, -122.277098204 37.7844489030001, -122.277093204 37.7840329050001, -122.277093203 37.782336904, -122.277093204 37.7808329040001, -122.277113204 37.7799639030001, -122.280146203 37.780106904, -122.280920204 37.7801429030001, -122.281416204 37.7801659030001, -122.282693205 37.7802329030001, -122.284193204 37.780332903, -122.285293205 37.7802329030001, -122.286925205 37.7802329040001, -122.288293204 37.7802329030001, -122.289493205 37.7802329020001, -122.291293206 37.780332903, -122.291717206 37.7802619020001, -122.291893206 37.7802329020001, -122.291793205 37.7823329030001, -122.291793206 37.7831329030001, -122.291834206 37.783753903, -122.291793206 37.783832902, -122.291793206 37.784632904, -122.291793206 37.785132903, -122.291793206 37.786432903, -122.292093207 37.787332903, -122.293893207 37.788932904, -122.294321206 37.789338903, -122.294393206 37.789432903, -122.294837208 37.7898079030001, -122.294893208 37.7908329030001, -122.293893208 37.7911329040001, -122.290893207 37.7920329040001, -122.290593207 37.7909329030001, -122.290293206 37.7920329030001, -122.289893206 37.790932904, -122.289593207 37.792332904, -122.289193206 37.790932904, -122.288693207 37.7924329040001, -122.288393207 37.790932904, -122.287893206 37.792532904, -122.280693205 37.7926329040001, -122.277293204 37.791832904, -122.277093204 37.7915329040001, -122.275993204 37.790432905))","POLYGON ((-122.275993204 37.790432905, -122.276693204 37.7894329040001, -122.277093204 37.788232904, -122.277093204 37.7858329040001, -122.277093204 37.7853329050001, -122.277098204 37.7844489030001, -122.277093204 37.7840329050001, -122.277093203 37.782336904, -122.277093204 37.7808329040001, -122.277113204 37.7799639030001, -122.280146203 37.780106904, -122.280920204 37.7801429030001, -122.281416204 37.7801659030001, -122.282693205 37.7802329030001, -122.284193204 37.780332903, -122.285293205 37.7802329030001, -122.286925205 37.7802329040001, -122.288293204 37.7802329030001, -122.289493205 37.7802329020001, -122.291293206 37.780332903, -122.291717206 37.7802619020001, -122.291893206 37.7802329020001, -122.291793205 37.7823329030001, -122.291793206 37.7831329030001, -122.291834206 37.783753903, -122.291793206 37.783832902, -122.291793206 37.784632904, -122.291793206 37.785132903, -122.291793206 37.786432903, -122.292093207 37.787332903, -122.293893207 37.788932904, -122.294321206 37.789338903, -122.294393206 37.789432903, -122.294837208 37.7898079030001, -122.294893208 37.7908329030001, -122.293893208 37.7911329040001, -122.290893207 37.7920329040001, -122.290593207 37.7909329030001, -122.290293206 37.7920329030001, -122.289893206 37.790932904, -122.289593207 37.792332904, -122.289193206 37.790932904, -122.288693207 37.7924329040001, -122.288393207 37.790932904, -122.287893206 37.792532904, -122.280693205 37.7926329040001, -122.277293204 37.791832904, -122.277093204 37.7915329040001, -122.275993204 37.790432905))"
TOTHH,979.0,979.0,979.0
TOTPOP,2789.0,2789.0,2789.0
EMPRES,1305.0,1305.0,1305.0
HHINCQ1,261.0,261.0,261.0
HHINCQ2,171.0,171.0,171.0
HHINCQ3,77.0,77.0,77.0
HHINCQ4,470.0,470.0,470.0
AGE0004,235.0,235.0,235.0
AGE0519,660.0,660.0,660.0
AGE2044,974.0,974.0,974.0
AGE4564,753.0,753.0,753.0
AGE64P,167.0,167.0,167.0
AGE62P,241.0,241.0,241.0
SHPOP62P,0.08641089996414486,0.08641089996414486,0.08641089996414486
TOTEMP,2721,2721,2721
RETEMPN,77.0,77.0,77.0
FPSEMPN,171.0,171.0,171.0
HEREMPN,403.0,403.0,403.0
AGREMPN,24.0,24.0,24.0
MWTEMPN,703.0,703.0,703.0
OTHEMPN,1343,1343,1343
TOTACRE,454.239583281853,454.239583281853,454.239583281853
HSENROLL,535.0,535.0,535.0
TOPOLOGY,1,1,1
employment_density,5.990230926906331,5.990230926906331,5.990230926906331
pop_density,6.139931663043645,6.139931663043645,6.139931663043645
hh_density,2.1552503040945603,2.1552503040945603,2.1552503040945603
hq1_density,0.5745866489976305,0.5745866489976305,0.5745866489976305
PRKCST,5.149440606497332,5.149440606497332,5.149440606497332
OPRKCST,12.345014382708529,12.345014382708529,12.345014382708529
COLLFTE,929.0,929.0,929.0
COLLPTE,5354.0,5354.0,5354.0
TERMINAL,0,0,0
area_type_metric,21.11550898030947,21.11550898030947,21.11550898030947
area_type,4,4,4
county_id,1,1,1
dense_30,False,False,False
dense_50,False,False,False
cordon,False,False,False
density_index,1.5849827236327831,1.5849827236327831,1.5849827236327831
time_window_overlap_adult,0,0,0
time_window_overlap_child,5,10,10
time_window_overlap_adult_child,5,10,10
log_time_window_overlap_adult,0.0,0.0,0.0
log_time_window_overlap_child,1.7919921875,2.3984375,2.3984375
log_time_window_overlap_adult_child,1.7919921875,2.3984375,2.3984375
person_is_full,False,False,False
person_is_part,False,False,False
person_is_univ,False,False,False
person_is_nonwork,False,False,False
person_is_driving,False,False,False
person_is_school,True,True,True
person_is_preschool,False,False,False
tour_type_is_eat,False,False,False
tour_type_is_disc,False,False,False
tour_composition_is_adults,False,False,False
tour_composition_is_children,True,True,True
tour_composition_is_mixed,False,False,False
home_is_suburban,True,True,True
high_income,True,True,True
more_cars_than_workers,True,True,True
