label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23
origin_density_measure,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985
dest_density_measure,15210.009984262237,15603.436644233472,2235.6401298403175,19099.99786152168,12833.775227975746,5758.2548881296725,12755.640829369337,12977.21081370198,37811.02856683547,20596.874683096234,20285.794837237034,34483.013315542565,23931.034346307984,13186.606030826333,24088.500402157617,17499.955981916843,13942.005279934627,7763.304057567985,24921.880626693848,21146.0043320525,28806.021325108697,4223.82183880106,15203.269924049238
origin_density,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
dest_density,1,1,3,1,2,2,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,3,1
origin_zone_taxi_wait_time_mean,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
origin_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_taxi_wait_time_mean,5.5,5.5,13.3,5.5,9.5,9.5,9.5,9.5,5.5,5.5,5.5,5.5,5.5,9.5,5.5,5.5,9.5,9.5,5.5,5.5,5.5,13.3,5.5
dest_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origTaxiWaitTime,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002
destTaxiWaitTime,5.5,5.5,13.300000000000002,5.5,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,5.5,5.5,5.5,5.5,5.5,9.500000000000002,5.5,5.5,9.500000000000002,9.500000000000002,5.5,5.5,5.5,13.300000000000002,5.5
origin_zone_singleTNC_wait_time_mean,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
origin_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_singleTNC_wait_time_mean,3.0,3.0,8.4,3.0,6.3,6.3,6.3,6.3,3.0,3.0,3.0,3.0,3.0,6.3,3.0,3.0,6.3,6.3,3.0,3.0,3.0,8.4,3.0
dest_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSingleTNCWaitTime,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999
destSingleTNCWaitTime,3.0000000000000004,3.0000000000000004,8.4,3.0000000000000004,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,6.299999999999999,3.0000000000000004,3.0000000000000004,6.299999999999999,6.299999999999999,3.0000000000000004,3.0000000000000004,3.0000000000000004,8.4,3.0000000000000004
origin_zone_sharedTNC_wait_time_mean,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
origin_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_sharedTNC_wait_time_mean,5.0,5.0,11.0,5.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,8.0,8.0,5.0,5.0,5.0,11.0,5.0
dest_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSharedTNCWaitTime,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998
destSharedTNCWaitTime,4.999999999999999,4.999999999999999,11.000000000000002,4.999999999999999,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,7.999999999999998,4.999999999999999,4.999999999999999,7.999999999999998,7.999999999999998,4.999999999999999,4.999999999999999,4.999999999999999,11.000000000000002,4.999999999999999
totalWaitTaxi,15.000000000000002,15.000000000000002,22.800000000000004,15.000000000000002,19.000000000000004,19.000000000000004,19.000000000000004,19.000000000000004,15.000000000000002,15.000000000000002,15.000000000000002,15.000000000000002,15.000000000000002,19.000000000000004,15.000000000000002,15.000000000000002,19.000000000000004,19.000000000000004,15.000000000000002,15.000000000000002,15.000000000000002,22.800000000000004,15.000000000000002
totalWaitSingleTNC,9.299999999999999,9.299999999999999,14.7,9.299999999999999,12.599999999999998,12.599999999999998,12.599999999999998,12.599999999999998,9.299999999999999,9.299999999999999,9.299999999999999,9.299999999999999,9.299999999999999,12.599999999999998,9.299999999999999,9.299999999999999,12.599999999999998,12.599999999999998,9.299999999999999,9.299999999999999,9.299999999999999,14.7,9.299999999999999
totalWaitSharedTNC,12.999999999999996,12.999999999999996,19.0,12.999999999999996,15.999999999999996,15.999999999999996,15.999999999999996,15.999999999999996,12.999999999999996,12.999999999999996,12.999999999999996,12.999999999999996,12.999999999999996,15.999999999999996,12.999999999999996,12.999999999999996,15.999999999999996,15.999999999999996,12.999999999999996,12.999999999999996,12.999999999999996,19.0,12.999999999999996
_free_parking_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_dest_hourly_peak_parking_cost,8.180751494677098,3.5729411600229266,1.3578326134449543,7.391727367368473,10.04247811798212,4.230250488440913,4.091755481715902,11.666773082839045,18.042829856791908,32.16846194802778,30.83320384727668,93.6506582691346,30.23946079574189,8.791849061248476,24.378518959171753,13.40844786336284,13.21387308140903,5.149440606497332,16.356630806384487,27.22579822915636,46.56094879419108,4.29985756143748,15.941717770180045
_dest_hourly_offpeak_parking_cost,22.07548250492755,0.0,4.801798163312952,0.0,28.36213100684148,14.680538647830396,16.580280794197563,27.76792331131389,0.0,68.80443939643999,84.60136036254812,223.10257749386585,76.75235442346883,20.9513361072097,54.125832212280855,37.39600604481589,36.774320463226935,12.345014382708529,9.448571770863822,74.5616623759817,114.72452746138495,14.264541711908288,48.416732082378005
_hourly_peak_parking_cost,8.180751494677098,3.5729411600229266,1.3578326134449543,7.391727367368473,10.04247811798212,4.230250488440913,4.091755481715902,11.666773082839045,18.042829856791908,32.16846194802778,30.83320384727668,93.6506582691346,30.23946079574189,8.791849061248476,24.378518959171753,13.40844786336284,13.21387308140903,5.149440606497332,16.356630806384487,27.22579822915636,46.56094879419108,4.29985756143748,15.941717770180045
_hourly_offpeak_parking_cost,22.07548250492755,0.0,4.801798163312952,0.0,28.36213100684148,14.680538647830396,16.580280794197563,27.76792331131389,0.0,68.80443939643999,84.60136036254812,223.10257749386585,76.75235442346883,20.9513361072097,54.125832212280855,37.39600604481589,36.774320463226935,12.345014382708529,9.448571770863822,74.5616623759817,114.72452746138495,14.264541711908288,48.416732082378005
daily_parking_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distance,11.600000381469727,8.720000267028809,10.6899995803833,7.090000152587891,6.179999828338623,6.769999980926514,4.880000114440918,4.449999809265137,4.510000228881836,4.5,4.510000228881836,3.7799999713897705,3.5999999046325684,2.75,3.0799999237060547,1.7699999809265137,1.8300000429153442,0.7599999904632568,1.5199999809265137,1.8200000524520874,3.9100000858306885,8.0600004196167,7.809999942779541
congestion_destination,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sov_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sovtoll_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hov2_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov2toll_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hov3_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov3toll_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_local_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_commuter_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_express_available,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
walk_heavyrail_available,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_lrf_available,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True
walk_ferry_available,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True
drive_local_available,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True
drive_commuter_available,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True
drive_express_available,True,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
drive_heavyrail_available,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True
drive_lrf_available,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,True,False,True
drive_ferry_available,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,True,False,True
destination_in_cbd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
