label,value
auto_ownership,3
av,0
hh_work_auto_savings_ratio,1.8466615676879883
num_under16_not_at_school,0
num_travel_active,6
num_travel_active_adults,3
num_travel_active_preschoolers,0
num_travel_active_children,3
num_travel_active_non_preschoolers,6
participates_in_jtf_model,True
joint_tour_frequency,1_Eat
num_hh_joint_tours,1
auPkRetail,9.62110189736206
auPkTotal,12.291746139526367
auOpRetail,9.904668024659404
auOpTotal,12.563990592956543
trPkRetail,0.9307435586428149
trPkTotal,3.4397530555725098
trOpRetail,0.2078692618802925
trOpTotal,1.8007595539093018
nmRetail,2.881488873037887
nmTotal,6.3904337882995605
objectid,579
district,18
county,Alameda
gacres,727.484331445
Shape__Are,0.000187754811122
Shape__Len,0.06535867388971
geometry,"POLYGON ((-122.275993204 37.790432905, -122.276693204 37.7894329040001, -122.277093204 37.788232904, -122.277093204 37.7858329040001, -122.277093204 37.7853329050001, -122.277098204 37.7844489030001, -122.277093204 37.7840329050001, -122.277093203 37.782336904, -122.277093204 37.7808329040001, -122.277113204 37.7799639030001, -122.280146203 37.780106904, -122.280920204 37.7801429030001, -122.281416204 37.7801659030001, -122.282693205 37.7802329030001, -122.284193204 37.780332903, -122.285293205 37.7802329030001, -122.286925205 37.7802329040001, -122.288293204 37.7802329030001, -122.289493205 37.7802329020001, -122.291293206 37.780332903, -122.291717206 37.7802619020001, -122.291893206 37.7802329020001, -122.291793205 37.7823329030001, -122.291793206 37.7831329030001, -122.291834206 37.783753903, -122.291793206 37.783832902, -122.291793206 37.784632904, -122.291793206 37.785132903, -122.291793206 37.786432903, -122.292093207 37.787332903, -122.293893207 37.788932904, -122.294321206 37.789338903, -122.294393206 37.789432903, -122.294837208 37.7898079030001, -122.294893208 37.7908329030001, -122.293893208 37.7911329040001, -122.290893207 37.7920329040001, -122.290593207 37.7909329030001, -122.290293206 37.7920329030001, -122.289893206 37.790932904, -122.289593207 37.792332904, -122.289193206 37.790932904, -122.288693207 37.7924329040001, -122.288393207 37.790932904, -122.287893206 37.792532904, -122.280693205 37.7926329040001, -122.277293204 37.791832904, -122.277093204 37.7915329040001, -122.275993204 37.790432905))"
TOTHH,979.0
TOTPOP,2789.0
EMPRES,1305.0
HHINCQ1,261.0
HHINCQ2,171.0
HHINCQ3,77.0
HHINCQ4,470.0
AGE0004,235.0
AGE0519,660.0
AGE2044,974.0
AGE4564,753.0
AGE64P,167.0
AGE62P,241.0
SHPOP62P,0.08641089996414486
TOTEMP,2721
RETEMPN,77.0
FPSEMPN,171.0
HEREMPN,403.0
AGREMPN,24.0
MWTEMPN,703.0
OTHEMPN,1343
TOTACRE,454.239583281853
HSENROLL,535.0
TOPOLOGY,1
employment_density,5.990230926906331
pop_density,6.139931663043645
hh_density,2.1552503040945603
hq1_density,0.5745866489976305
PRKCST,5.149440606497332
OPRKCST,12.345014382708529
COLLFTE,929.0
COLLPTE,5354.0
TERMINAL,0
area_type_metric,21.11550898030947
area_type,4
county_id,1
dense_30,False
dense_50,False
cordon,False
density_index,1.5849827236327831
primary_purpose,work
in_period,PM
out_period,AM
number_of_participants,1
is_joint,False
_parent_tour_mode,
work_tour_is_drive,False
work_tour_is_bike,False
work_tour_is_SOV,False
is_mandatory,True
is_joint (2),False
is_indiv,True
is_atwork_subtour,False
is_escort,False
ivot,0.13758069152413085
dest_topology,1
terminal_time,0
dest_density_index,17.532927391450386
_walk_transit_origin,True
_walk_transit_destination,True
walk_transit_available,True
drive_transit_available,True
origin_walk_time,6.66
destination_walk_time,6.66
origin_density_measure,7763.304057567985
dest_density_measure,65990.93941323578
origin_density,2
dest_density,1
origin_zone_taxi_wait_time_mean,9.5
origin_zone_taxi_wait_time_sd,0
dest_zone_taxi_wait_time_mean,5.5
dest_zone_taxi_wait_time_sd,0
origTaxiWaitTime,9.500000000000002
destTaxiWaitTime,5.5
origin_zone_singleTNC_wait_time_mean,6.3
origin_zone_singleTNC_wait_time_sd,0
dest_zone_singleTNC_wait_time_mean,3.0
dest_zone_singleTNC_wait_time_sd,0
origSingleTNCWaitTime,6.299999999999999
destSingleTNCWaitTime,3.0000000000000004
origin_zone_sharedTNC_wait_time_mean,8.0
origin_zone_sharedTNC_wait_time_sd,0
dest_zone_sharedTNC_wait_time_mean,5.0
dest_zone_sharedTNC_wait_time_sd,0
origSharedTNCWaitTime,7.999999999999998
destSharedTNCWaitTime,4.999999999999999
totalWaitTaxi,15.000000000000002
totalWaitSingleTNC,9.299999999999999
totalWaitSharedTNC,12.999999999999996
_free_parking_available,True
_dest_hourly_peak_parking_cost,96.52973196271813
_dest_hourly_offpeak_parking_cost,295.0583842551592
_hourly_peak_parking_cost,0.0
_hourly_offpeak_parking_cost,0.0
daily_parking_cost,0.0
distance,11.979999542236328
congestion_destination,True
sov_available,True
sovtoll_available,False
hov2_available,True
hov2toll_available,False
hov3_available,True
hov3toll_available,False
walk_local_available,False
walk_commuter_available,False
walk_express_available,False
walk_heavyrail_available,False
walk_lrf_available,True
walk_ferry_available,True
drive_local_available,False
drive_commuter_available,True
drive_express_available,True
drive_heavyrail_available,True
drive_lrf_available,True
drive_ferry_available,True
destination_in_cbd,1
