label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55,value_56,value_57,value_58,value_59,value_60,value_61,value_62,value_63,value_64,value_65,value_66,value_67,value_68,value_69,value_70,value_71,value_72,value_73,value_74,value_75,value_76,value_77,value_78,value_79,value_80,value_81,value_82,value_83,value_84,value_85
work_tour_is_bike,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_tour_is_SOV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_mandatory,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_joint (2),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_indiv,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is_atwork_subtour,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_escort,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ivot,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529,0.206267903334529
dest_topology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
terminal_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_density_index,13.18642706990128,26.718246937704482,1.0739748813080614,3.3541249739019747,0.4548858126460038,1.8438344525832486,0.2575473354994255,4.560509945040793,2.5571418684340204,1.4850261018790163,2.9735214468041296,1.0600713732066476,1.4054657031993552,1.049678591746242,3.037754408868579,5.998041413361501,1.0763094858504587,4.879985442530698,2.147448304603318,1.9975933033838664,3.150701373625547,2.1364585956413222,4.644929086372237,1.066300502337295,4.329182129056152,0.5068306806994953,1.0886396352378882,0.9441197106992482,0.3179776289596813,35.65328873560505,0.5443319568203591,14.760356206573864,2.855774593794642,20.905548181544784,1.8389847525300647,1.6773772408220957,2.2667810187483712,2.7495482806564433,1.0765651270504433,1.678602173230175,1.7746110528655992,1.30003393842455,3.146177445410723,1.0350655691245798,1.4054657031993552,1.212188956156322,2.9648725512910024,3.2886009533837637,1.6439429389819695,1.9975933033838664,2.0326380958232213,1.5849827236327831,15.583226876725265,5.609178768631969,0.8557761620222465,1.642184878785966,3.3083219799108785,1.3292834535276028,0.7978094833079171,7.662915372029511,3.025871981883129,2.4872953322304214,0.2833036989270625,2.325379455755972,1.7366653939769672,0.8649822466653501,2.5571418684340204,1.049678591746242,1.4913183581973302,3.441742493447077,3.2886009533837637,1.4894492908043313,5.76421358651369,3.150701373625547,1.5849827236327831,2.724210677346582,6.0546675835420105,0.8557761620222465,2.554947129119201,5.842396156126144,2.9229803503282072,2.1440132354834494,0.8673627679084561,0.09328936387111113,0.05384699049021935
_walk_transit_origin,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
_walk_transit_destination,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
walk_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
drive_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
origin_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
destination_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
origin_density_measure,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985,7763.304057567985
dest_density_measure,62401.7355132145,453475.1838665714,18150.354647996755,16414.03295977206,13772.623377725997,8974.490775719902,1315.807391446012,20471.986129945384,14940.274394593263,8596.206591710192,15690.410257504916,6723.8124432968425,18090.162722144632,15909.871215627678,21443.2017959267,37811.02856683547,17383.69035786051,35981.40182629566,11576.214589999203,10931.130896349769,13942.005279934627,17525.035863461817,17888.64405584034,7183.0709182983355,16476.826395679494,3140.90359528485,7161.474923391402,5283.18564955583,2872.427221629701,147638.81764502433,2702.7699083198227,49807.373541872585,18698.048480264453,113181.72493455943,16922.29905891665,9129.580481398656,11674.230590060564,15215.352977709696,4915.547548764816,12885.941524119551,11965.823649191227,9412.839210775546,16588.633848745692,17292.311440682788,18090.162722144632,12259.206561067042,13186.606030826333,16384.768872377153,7843.0515451258625,10931.130896349769,17499.955981916843,7763.304057567985,145195.4152049207,20046.659035070214,4025.7487799212768,9623.765783355338,15820.29985117949,7774.967362756872,3406.1087299560972,42630.258215880815,19222.39529804824,17441.512212179503,2436.1357408058534,11277.264584344775,10801.891970716997,4043.9955863596,14940.274394593263,15909.871215627678,6707.209447620239,33408.05443125422,16384.768872377153,9307.621741960395,23004.49363108016,13942.005279934627,7763.304057567985,24921.880626693848,21728.95364980306,4025.7487799212768,14104.277215773445,21647.02307986858,19914.25034917546,12371.280169952715,5752.0020724161595,843.3792089413578,649.7145468710945
origin_density,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
dest_density,1,1,1,1,2,2,4,1,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,3,2,2,3,1,3,1,1,1,1,2,2,1,3,2,2,2,1,1,1,2,2,1,2,2,1,2,1,1,3,2,1,2,3,1,1,1,3,2,2,3,2,1,2,1,1,2,1,2,2,1,1,3,2,1,1,2,2,4,4
origin_zone_taxi_wait_time_mean,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
origin_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_taxi_wait_time_mean,5.5,5.5,5.5,5.5,9.5,9.5,17.3,5.5,9.5,9.5,5.5,9.5,5.5,5.5,5.5,5.5,5.5,5.5,9.5,9.5,9.5,5.5,5.5,9.5,5.5,13.3,9.5,9.5,13.3,5.5,13.3,5.5,5.5,5.5,5.5,9.5,9.5,5.5,13.3,9.5,9.5,9.5,5.5,5.5,5.5,9.5,9.5,5.5,9.5,9.5,5.5,9.5,5.5,5.5,13.3,9.5,5.5,9.5,13.3,5.5,5.5,5.5,13.3,9.5,9.5,13.3,9.5,5.5,9.5,5.5,5.5,9.5,5.5,9.5,9.5,5.5,5.5,13.3,9.5,5.5,5.5,9.5,9.5,17.3,17.3
dest_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
