label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25
value_of_time,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35,33.35
tour_type,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school,school
free_parking_at_work,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_joint,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_indiv,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is_atwork_subtour,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
c_cost,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546,-0.00048755622188905546
parent_tour_mode,,,,,,,,,,,,,,,,,,,,,,,,,
work_tour_is_SOV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_tour_is_bike,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
i_tour_mode,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
tour_mode_is_SOV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_auto,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
tour_mode_is_walk,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_bike,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_walk_transit,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_drive_transit,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_ride_hail,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
inbound,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
first_trip,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
last_trip,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_origin_terminal_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_dest_terminal_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
total_terminal_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
free_parking_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dest_hourly_peak_parking_cost,109.57562785653587,10.87931803863049,8.569385449140446,0.7785492170355538,0.4415742200142384,1.5270816031631034,5.205783865991242,6.421466007778973,7.099210115050621,2.853165625685364,0.7442498399465753,19.497537900108316,6.0376078394777375,15.297751474829242,12.081615077594185,9.223997024068836,26.086780553702763,10.572089546238614,11.903176946243295,0.7396414166374775,0.0,1.2859824438085614,4.64010474841474,7.241665905275522,5.5355150895549565
origin_hourly_peak_parking_cost,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597,2.3565265742004597
origin_duration,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
dest_duration,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
origin_parking_cost,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023,11.7826328710023
dest_parking_cost,109.57562785653587,10.87931803863049,8.569385449140446,0.7785492170355538,0.4415742200142384,1.5270816031631034,5.205783865991242,6.421466007778973,7.099210115050621,2.853165625685364,0.7442498399465753,19.497537900108316,6.0376078394777375,15.297751474829242,12.081615077594185,9.223997024068836,26.086780553702763,10.572089546238614,11.903176946243295,0.7396414166374775,0.0,1.2859824438085614,4.64010474841474,7.241665905275522,5.5355150895549565
total_parking_cost,60.67913036376909,11.330975454816395,10.176009160071374,6.2805910440189265,6.112103545508269,6.654857237082702,8.494208368496771,9.102049439390637,9.44092149302646,7.317899248343831,6.263441355474438,15.640085385555308,8.910120355240018,13.54019217291577,11.932123974298243,10.503314947535568,18.93470671235253,11.177361208620457,11.842904908622797,6.261137143819888,5.89131643550115,6.534307657405431,8.21136880970852,9.51214938813891,8.659073980278627
trip_topology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
density_index,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185
origin_density_index,13.484056547862094,2.061275965052431,2.3849406006729605,0.5110593302770796,0.2890416351203489,0.7642049667674902,1.5846589768751131,2.2510149214786477,0.14803418211436747,1.7578754363055893,1.9193224872198573,4.624951381778473,2.6481826760876133,0.7908949973951511,1.2732350709716753,2.231726365248725,4.275123292142687,1.1987300710518602,2.6090881379723543,0.279261579935361,0.3391221301394236,0.3373815076736968,1.5330012965507391,1.7597838711057212,1.0119536990734395
_walk_transit_origin,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
_walk_transit_destination,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
walk_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
drive_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
origin_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
destination_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
origin_density_measure,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776,8388.800564917776
origin_density,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
origin_zone_taxi_wait_time_mean,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
origin_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origTaxiWaitTime,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002
origin_zone_singleTNC_wait_time_mean,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
origin_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSingleTNCWaitTime,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999
origin_zone_sharedTNC_wait_time_mean,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
origin_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSharedTNCWaitTime,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998
sov_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov2_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov3_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sovtoll_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hov2toll_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hov3toll_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_local_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_lrf_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_express_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_heavyrail_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_commuter_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_local_available_outbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_local_available_inbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
drive_lrf_available_outbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_lrf_available_inbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_express_available_outbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_express_available_inbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_heavyrail_available_outbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_heavyrail_available_inbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_commuter_available_outbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_commuter_available_inbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_ferry_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_drive_ferry_available_outbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_drive_ferry_available_inbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_ferry_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
