label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24
terminal_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_density_index,0.09672439038959907,3.1874250208910557,2.5455741089835913,1.718654756979243,3.0265915042856117,1.6455333510577916,3.5734402720458416,4.389274534282413,4.0867932783830545,2.944690286001856,2.1055003901263487,2.7160346128734956,2.1887785344426747,1.8564833973814086,1.545365125042903,0.16100108293889542,1.1682993798356311,1.7165086287445621,2.9329817159612617,0.1852937844532552,0.8820455819352797,1.196713009777651,0.014079727167900917,0.02649000732773517
_walk_transit_origin,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
_walk_transit_destination,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
walk_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
drive_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
origin_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
destination_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
origin_density_measure,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516,180.257219472516
dest_density_measure,10125.536548152008,14475.5416965714,11181.299850311867,8862.677273290206,13383.776837515918,6798.548241097617,14416.931498995022,28358.354686094524,16303.967543172837,13136.827879086568,10961.444877621854,21907.21565395374,22438.744632179558,11496.38338755512,14663.9743070775,10174.580547202962,7731.557594117793,10808.150813082419,15760.456753706214,1476.2896840409155,4469.864086215046,5845.104872312768,317.51352928635663,388.75308147131983
origin_density,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
dest_density,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,4,3,2,5,5
origin_zone_taxi_wait_time_mean,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5
origin_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_taxi_wait_time_mean,9.5,9.5,9.5,9.5,9.5,9.5,9.5,5.5,5.5,9.5,9.5,5.5,5.5,9.5,9.5,9.5,9.5,9.5,5.5,17.3,13.3,9.5,26.5,26.5
dest_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origTaxiWaitTime,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5
destTaxiWaitTime,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,5.5,5.5,9.500000000000002,9.500000000000002,5.5,5.5,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,5.5,17.3,13.300000000000002,9.500000000000002,26.5,26.5
origin_zone_singleTNC_wait_time_mean,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
origin_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_singleTNC_wait_time_mean,6.3,6.3,6.3,6.3,6.3,6.3,6.3,3.0,3.0,6.3,6.3,3.0,3.0,6.3,6.3,6.3,6.3,6.3,3.0,8.5,8.4,6.3,10.3,10.3
dest_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSingleTNCWaitTime,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999,10.299999999999999
destSingleTNCWaitTime,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,3.0000000000000004,3.0000000000000004,6.299999999999999,6.299999999999999,3.0000000000000004,3.0000000000000004,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,3.0000000000000004,8.5,8.4,6.299999999999999,10.299999999999999,10.299999999999999
origin_zone_sharedTNC_wait_time_mean,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
origin_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_sharedTNC_wait_time_mean,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,8.0,8.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,5.0,15.0,11.0,8.0,15.0,15.0
dest_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSharedTNCWaitTime,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
destSharedTNCWaitTime,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,4.999999999999999,4.999999999999999,7.999999999999998,7.999999999999998,4.999999999999999,4.999999999999999,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,4.999999999999999,15.0,11.000000000000002,7.999999999999998,15.0,15.0
totalWaitTaxi,36.0,36.0,36.0,36.0,36.0,36.0,36.0,32.0,32.0,36.0,36.0,32.0,32.0,36.0,36.0,36.0,36.0,36.0,32.0,43.8,39.800000000000004,36.0,53.0,53.0
totalWaitSingleTNC,16.599999999999998,16.599999999999998,16.599999999999998,16.599999999999998,16.599999999999998,16.599999999999998,16.599999999999998,13.299999999999999,13.299999999999999,16.599999999999998,16.599999999999998,13.299999999999999,13.299999999999999,16.599999999999998,16.599999999999998,16.599999999999998,16.599999999999998,16.599999999999998,13.299999999999999,18.799999999999997,18.7,16.599999999999998,20.599999999999998,20.599999999999998
totalWaitSharedTNC,23.0,23.0,23.0,23.0,23.0,23.0,23.0,20.0,20.0,23.0,23.0,20.0,20.0,23.0,23.0,23.0,23.0,23.0,20.0,30.0,26.0,23.0,30.0,30.0
_free_parking_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_dest_hourly_peak_parking_cost,10.660852082892903,12.959457837999455,7.410867419020916,3.789169171672778,11.488073665737994,6.5274028930379115,15.09133407578442,29.57488024513379,17.45074656933916,13.285715282085462,12.062996514953728,0.0,0.0,2.1776837568969363,0.0,10.673388575181242,4.105434962623414,5.634890556626631,10.708276742605351,0.0,1.915203462044568,2.0566648135362366,0.2328411303853107,0.07105818330571713
_dest_hourly_offpeak_parking_cost,33.699082991153745,38.931397582165964,19.08529252543713,12.739892722391277,35.54243193853547,19.806541010356018,46.53364318523693,92.3337046585918,49.80440588852805,39.51884194697925,27.524590465166717,0.0,0.0,1.2661146167249413,0.0,32.75290907564558,13.159653826613855,19.615478978481995,31.47657490089157,0.0,5.038568400217557,3.4709845652827767,0.6533713131043462,0.2650550520221913
_hourly_peak_parking_cost,10.660852082892903,12.959457837999455,7.410867419020916,3.789169171672778,11.488073665737994,6.5274028930379115,15.09133407578442,29.57488024513379,17.45074656933916,13.285715282085462,12.062996514953728,0.0,0.0,2.1776837568969363,0.0,10.673388575181242,4.105434962623414,5.634890556626631,10.708276742605351,0.0,1.915203462044568,2.0566648135362366,0.2328411303853107,0.07105818330571713
_hourly_offpeak_parking_cost,33.699082991153745,38.931397582165964,19.08529252543713,12.739892722391277,35.54243193853547,19.806541010356018,46.53364318523693,92.3337046585918,49.80440588852805,39.51884194697925,27.524590465166717,0.0,0.0,1.2661146167249413,0.0,32.75290907564558,13.159653826613855,19.615478978481995,31.47657490089157,0.0,5.038568400217557,3.4709845652827767,0.6533713131043462,0.2650550520221913
daily_parking_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distance,18.920000076293945,23.84000015258789,19.610000610351562,19.68000030517578,16.6200008392334,15.979999542236328,16.8700008392334,15.979999542236328,16.68000030517578,18.100000381469727,13.289999961853027,10.680000305175781,13.779999732971191,13.380000114440918,14.859999656677246,18.010000228881836,6.940000057220459,8.140000343322754,11.0,5.599999904632568,4.980000019073486,4.590000152587891,16.809999465942383,10.119999885559082
sov_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sovtoll_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hov2_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov2toll_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hov3_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov3toll_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_local_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_commuter_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_express_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_heavyrail_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_lrf_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_ferry_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_local_available,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True
drive_commuter_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_express_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_heavyrail_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_lrf_available,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,True,True,True,True,False,True,True,False,True
drive_ferry_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
destination_in_cbd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
