label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55
is_joint,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_parent_tour_mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work_tour_is_drive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_tour_is_bike,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_tour_is_SOV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_mandatory,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_joint (2),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_indiv,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is_atwork_subtour,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_escort,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ivot,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
dest_topology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
terminal_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_density_index,15.344977026098308,25.411287294036857,0.4179171975378896,0.07192072248700113,0.024880666841647282,0.0066719788736875904,1.1672951965994358,0.5687161675985741,0.028477372673347493,3.0265915042856117,2.1055003901263487,2.0908199437469235,2.7235655693624543,0.7594293618045946,1.2643699491116507,0.005496208254685181,0.0014413430872605687,0.009499579431009462,3.1949671199946543,2.422086652371865,4.603812873892516,1.7593160718427814,0.23007168684544124,2.054736162597738,2.0970307809989466,1.0072516059447798,1.033492250587771,13.947214921019066,5.13653894689642,2.111086524579711,0.37219839678488864,2.561106448447404,0.07192072248700113,0.0066719788736875904,1.1672951965994358,1.4724094976900712,1.5906274557355373,3.029515326369484,1.3280453901239673,2.1497856374901434,1.8065256871762407,1.026509855720254,1.7023812982138515,0.009499579431009462,0.666404666647426,1.0450410987663303,2.6693986340743825,1.6982009419288044,1.5913403685964276,2.0970307809989466,0.39145447086612545,18.914815409608682,0.7908949973951511,4.275123292142687,0.279261579935361
_walk_transit_origin,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
_walk_transit_destination,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
walk_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
drive_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
origin_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
destination_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
origin_density_measure,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014,5578.776372491014
dest_density_measure,172295.8481440499,451259.63794635644,12842.51943522031,4352.797332189551,5946.310276339609,12480.340092819519,11382.155212423359,10975.343620644126,2220.866524111447,13383.776837515918,10961.444877621854,12701.930550257679,15016.98560414672,10252.395483452301,8343.797648769996,180.257219472516,103.22436575711613,1503.4744625465746,14704.71911583132,11599.675308222972,25769.404085601935,8802.159845565337,1797.0934769929584,9035.713770627213,9473.59773963683,7217.421467207644,18071.368639731496,84821.76043652874,21557.009865846394,8660.24125690525,29117.49315699851,10456.905376606397,4352.797332189551,12480.340092819519,11382.155212423359,19504.897779592593,12097.700779958057,42547.50863721382,13891.923038673183,13423.556931061243,9812.128616279264,4456.3762186759,9404.582779718146,1503.4744625465746,10692.374208289331,5230.668762975076,13034.586109181082,9962.499258198877,9178.950322978293,9473.59773963683,4262.568794819042,168964.00428438518,14195.91270167737,17354.261265989087,1228.0171441848645
origin_density,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
dest_density,1,1,2,3,2,2,2,2,3,2,2,2,1,2,2,5,5,4,2,2,1,2,4,2,2,2,1,1,1,2,1,2,3,2,2,1,2,1,2,2,2,3,2,4,2,2,2,2,2,2,3,1,2,1,4
origin_zone_taxi_wait_time_mean,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
origin_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_taxi_wait_time_mean,5.5,5.5,9.5,13.3,9.5,9.5,9.5,9.5,13.3,9.5,9.5,9.5,5.5,9.5,9.5,26.5,26.5,17.3,9.5,9.5,5.5,9.5,17.3,9.5,9.5,9.5,5.5,5.5,5.5,9.5,5.5,9.5,13.3,9.5,9.5,5.5,9.5,5.5,9.5,9.5,9.5,13.3,9.5,17.3,9.5,9.5,9.5,9.5,9.5,9.5,13.3,5.5,9.5,5.5,17.3
dest_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origTaxiWaitTime,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002
destTaxiWaitTime,5.5,5.5,9.500000000000002,13.300000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,13.300000000000002,9.500000000000002,9.500000000000002,9.500000000000002,5.5,9.500000000000002,9.500000000000002,26.5,26.5,17.3,9.500000000000002,9.500000000000002,5.5,9.500000000000002,17.3,9.500000000000002,9.500000000000002,9.500000000000002,5.5,5.5,5.5,9.500000000000002,5.5,9.500000000000002,13.300000000000002,9.500000000000002,9.500000000000002,5.5,9.500000000000002,5.5,9.500000000000002,9.500000000000002,9.500000000000002,13.300000000000002,9.500000000000002,17.3,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,13.300000000000002,5.5,9.500000000000002,5.5,17.3
origin_zone_singleTNC_wait_time_mean,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
origin_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_singleTNC_wait_time_mean,3.0,3.0,6.3,8.4,6.3,6.3,6.3,6.3,8.4,6.3,6.3,6.3,3.0,6.3,6.3,10.3,10.3,8.5,6.3,6.3,3.0,6.3,8.5,6.3,6.3,6.3,3.0,3.0,3.0,6.3,3.0,6.3,8.4,6.3,6.3,3.0,6.3,3.0,6.3,6.3,6.3,8.4,6.3,8.5,6.3,6.3,6.3,6.3,6.3,6.3,8.4,3.0,6.3,3.0,8.5
dest_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSingleTNCWaitTime,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999
destSingleTNCWaitTime,3.0000000000000004,3.0000000000000004,6.299999999999999,8.4,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,8.4,6.299999999999999,6.299999999999999,6.299999999999999,3.0000000000000004,6.299999999999999,6.299999999999999,10.299999999999999,10.299999999999999,8.5,6.299999999999999,6.299999999999999,3.0000000000000004,6.299999999999999,8.5,6.299999999999999,6.299999999999999,6.299999999999999,3.0000000000000004,3.0000000000000004,3.0000000000000004,6.299999999999999,3.0000000000000004,6.299999999999999,8.4,6.299999999999999,6.299999999999999,3.0000000000000004,6.299999999999999,3.0000000000000004,6.299999999999999,6.299999999999999,6.299999999999999,8.4,6.299999999999999,8.5,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,8.4,3.0000000000000004,6.299999999999999,3.0000000000000004,8.5
origin_zone_sharedTNC_wait_time_mean,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
origin_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_sharedTNC_wait_time_mean,5.0,5.0,8.0,11.0,8.0,8.0,8.0,8.0,11.0,8.0,8.0,8.0,5.0,8.0,8.0,15.0,15.0,15.0,8.0,8.0,5.0,8.0,15.0,8.0,8.0,8.0,5.0,5.0,5.0,8.0,5.0,8.0,11.0,8.0,8.0,5.0,8.0,5.0,8.0,8.0,8.0,11.0,8.0,15.0,8.0,8.0,8.0,8.0,8.0,8.0,11.0,5.0,8.0,5.0,15.0
dest_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSharedTNCWaitTime,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998
destSharedTNCWaitTime,4.999999999999999,4.999999999999999,7.999999999999998,11.000000000000002,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,11.000000000000002,7.999999999999998,7.999999999999998,7.999999999999998,4.999999999999999,7.999999999999998,7.999999999999998,15.0,15.0,15.0,7.999999999999998,7.999999999999998,4.999999999999999,7.999999999999998,15.0,7.999999999999998,7.999999999999998,7.999999999999998,4.999999999999999,4.999999999999999,4.999999999999999,7.999999999999998,4.999999999999999,7.999999999999998,11.000000000000002,7.999999999999998,7.999999999999998,4.999999999999999,7.999999999999998,4.999999999999999,7.999999999999998,7.999999999999998,7.999999999999998,11.000000000000002,7.999999999999998,15.0,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,11.000000000000002,4.999999999999999,7.999999999999998,4.999999999999999,15.0
totalWaitTaxi,15.000000000000002,15.000000000000002,19.000000000000004,22.800000000000004,19.000000000000004,19.000000000000004,19.000000000000004,19.000000000000004,22.800000000000004,19.000000000000004,19.000000000000004,19.000000000000004,15.000000000000002,19.000000000000004,19.000000000000004,36.0,36.0,26.800000000000004,19.000000000000004,19.000000000000004,15.000000000000002,19.000000000000004,26.800000000000004,19.000000000000004,19.000000000000004,19.000000000000004,15.000000000000002,15.000000000000002,15.000000000000002,19.000000000000004,15.000000000000002,19.000000000000004,22.800000000000004,19.000000000000004,19.000000000000004,15.000000000000002,19.000000000000004,15.000000000000002,19.000000000000004,19.000000000000004,19.000000000000004,22.800000000000004,19.000000000000004,26.800000000000004,19.000000000000004,19.000000000000004,19.000000000000004,19.000000000000004,19.000000000000004,19.000000000000004,22.800000000000004,15.000000000000002,19.000000000000004,15.000000000000002,26.800000000000004
totalWaitSingleTNC,9.299999999999999,9.299999999999999,12.599999999999998,14.7,12.599999999999998,12.599999999999998,12.599999999999998,12.599999999999998,14.7,12.599999999999998,12.599999999999998,12.599999999999998,9.299999999999999,12.599999999999998,12.599999999999998,16.599999999999998,16.599999999999998,14.799999999999999,12.599999999999998,12.599999999999998,9.299999999999999,12.599999999999998,14.799999999999999,12.599999999999998,12.599999999999998,12.599999999999998,9.299999999999999,9.299999999999999,9.299999999999999,12.599999999999998,9.299999999999999,12.599999999999998,14.7,12.599999999999998,12.599999999999998,9.299999999999999,12.599999999999998,9.299999999999999,12.599999999999998,12.599999999999998,12.599999999999998,14.7,12.599999999999998,14.799999999999999,12.599999999999998,12.599999999999998,12.599999999999998,12.599999999999998,12.599999999999998,12.599999999999998,14.7,9.299999999999999,12.599999999999998,9.299999999999999,14.799999999999999
totalWaitSharedTNC,12.999999999999996,12.999999999999996,15.999999999999996,19.0,15.999999999999996,15.999999999999996,15.999999999999996,15.999999999999996,19.0,15.999999999999996,15.999999999999996,15.999999999999996,12.999999999999996,15.999999999999996,15.999999999999996,23.0,23.0,23.0,15.999999999999996,15.999999999999996,12.999999999999996,15.999999999999996,23.0,15.999999999999996,15.999999999999996,15.999999999999996,12.999999999999996,12.999999999999996,12.999999999999996,15.999999999999996,12.999999999999996,15.999999999999996,19.0,15.999999999999996,15.999999999999996,12.999999999999996,15.999999999999996,12.999999999999996,15.999999999999996,15.999999999999996,15.999999999999996,19.0,15.999999999999996,23.0,15.999999999999996,15.999999999999996,15.999999999999996,15.999999999999996,15.999999999999996,15.999999999999996,19.0,12.999999999999996,15.999999999999996,12.999999999999996,23.0
