label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49
ivot,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957,0.1731450873103957
dest_topology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
terminal_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_density_index,2.023636082340536,0.006165783014763674,0.9787276361878611,0.5493586691027398,0.8952462613204736,1.1514446224158117,0.2004460620487844,0.012737403034011358,0.08422721138714565,1.8468343266238745,1.5706517875720516,0.23389646561361166,1.569175011211062,0.6861062229749499,0.7773036051631254,1.0445894650696848,2.9382624416326895,0.8539674493722813,0.7852669089238729,0.2671846838514583,2.0781084300246624,0.010289415842116671,0.0008997435754786252,28.35188442665775,1.2706014983810465,0.23529417034515648,1.4378941487060855,2.4086176705015463,0.9554997001396157,0.41139277313210043,0.30457839058153596,0.012737403034011358,1.5375424631204286,0.08422721138714565,3.6620787866378652,2.2501699923599503,0.41061144751380024,9.196858091649608,0.23389646561361166,0.6182259428639405,0.6861062229749499,0.7773036051631254,0.9150624410831907,2.9382624416326895,0.8772995291639979,2.0781084300246624,0.5442017690500491,0.13526227366767543,3.011524912186754
_walk_transit_origin,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
_walk_transit_destination,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
walk_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
drive_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
origin_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
destination_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
origin_density_measure,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227
dest_density_measure,9601.334360500798,186.26076355342485,8583.058371882424,4214.435333259008,6648.197530888132,12064.645639897664,962.8554547688707,492.23575146367773,946.8111171562042,7874.490511253808,8558.9617329197,2447.697197026272,8694.013812737472,2949.5672620212044,15357.201270933227,14248.205146184957,13412.327671797253,5243.491780785689,12757.926128067491,1164.6870498869798,10300.108097843486,392.5913358975735,67.75899975322265,96364.83696813168,7404.469331228979,2137.066306684432,14634.52453761034,10421.06008222273,11752.807367581532,2279.4914494260724,2234.1748837221226,492.23575146367773,7832.066908559585,946.8111171562042,19543.556285756797,10780.950147746184,3112.6820162177946,37109.339322564534,2447.697197026272,6092.956812878188,2949.5672620212044,15357.201270933227,7413.349821206222,13412.327671797253,6384.126380689386,10300.108097843486,5629.487252658046,1108.6758661161648,14690.083260099187
origin_density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dest_density,2,5,2,3,2,2,4,5,4,2,2,3,2,3,1,2,2,2,2,4,2,5,5,1,2,3,2,2,2,3,3,5,2,4,1,2,3,1,3,2,3,1,2,2,2,2,2,4,2
origin_zone_taxi_wait_time_mean,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
origin_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_taxi_wait_time_mean,9.5,26.5,9.5,13.3,9.5,9.5,17.3,26.5,17.3,9.5,9.5,13.3,9.5,13.3,5.5,9.5,9.5,9.5,9.5,17.3,9.5,26.5,26.5,5.5,9.5,13.3,9.5,9.5,9.5,13.3,13.3,26.5,9.5,17.3,5.5,9.5,13.3,5.5,13.3,9.5,13.3,5.5,9.5,9.5,9.5,9.5,9.5,17.3,9.5
dest_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origTaxiWaitTime,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
destTaxiWaitTime,9.500000000000002,26.5,9.500000000000002,13.300000000000002,9.500000000000002,9.500000000000002,17.3,26.5,17.3,9.500000000000002,9.500000000000002,13.300000000000002,9.500000000000002,13.300000000000002,5.5,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,17.3,9.500000000000002,26.5,26.5,5.5,9.500000000000002,13.300000000000002,9.500000000000002,9.500000000000002,9.500000000000002,13.300000000000002,13.300000000000002,26.5,9.500000000000002,17.3,5.5,9.500000000000002,13.300000000000002,5.5,13.300000000000002,9.500000000000002,13.300000000000002,5.5,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,17.3,9.500000000000002
origin_zone_singleTNC_wait_time_mean,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
origin_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_singleTNC_wait_time_mean,6.3,10.3,6.3,8.4,6.3,6.3,8.5,10.3,8.5,6.3,6.3,8.4,6.3,8.4,3.0,6.3,6.3,6.3,6.3,8.5,6.3,10.3,10.3,3.0,6.3,8.4,6.3,6.3,6.3,8.4,8.4,10.3,6.3,8.5,3.0,6.3,8.4,3.0,8.4,6.3,8.4,3.0,6.3,6.3,6.3,6.3,6.3,8.5,6.3
dest_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSingleTNCWaitTime,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004
destSingleTNCWaitTime,6.299999999999999,10.299999999999999,6.299999999999999,8.4,6.299999999999999,6.299999999999999,8.5,10.299999999999999,8.5,6.299999999999999,6.299999999999999,8.4,6.299999999999999,8.4,3.0000000000000004,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,8.5,6.299999999999999,10.299999999999999,10.299999999999999,3.0000000000000004,6.299999999999999,8.4,6.299999999999999,6.299999999999999,6.299999999999999,8.4,8.4,10.299999999999999,6.299999999999999,8.5,3.0000000000000004,6.299999999999999,8.4,3.0000000000000004,8.4,6.299999999999999,8.4,3.0000000000000004,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,8.5,6.299999999999999
origin_zone_sharedTNC_wait_time_mean,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
origin_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_sharedTNC_wait_time_mean,8.0,15.0,8.0,11.0,8.0,8.0,15.0,15.0,15.0,8.0,8.0,11.0,8.0,11.0,5.0,8.0,8.0,8.0,8.0,15.0,8.0,15.0,15.0,5.0,8.0,11.0,8.0,8.0,8.0,11.0,11.0,15.0,8.0,15.0,5.0,8.0,11.0,5.0,11.0,8.0,11.0,5.0,8.0,8.0,8.0,8.0,8.0,15.0,8.0
dest_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSharedTNCWaitTime,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999
destSharedTNCWaitTime,7.999999999999998,15.0,7.999999999999998,11.000000000000002,7.999999999999998,7.999999999999998,15.0,15.0,15.0,7.999999999999998,7.999999999999998,11.000000000000002,7.999999999999998,11.000000000000002,4.999999999999999,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,15.0,7.999999999999998,15.0,15.0,4.999999999999999,7.999999999999998,11.000000000000002,7.999999999999998,7.999999999999998,7.999999999999998,11.000000000000002,11.000000000000002,15.0,7.999999999999998,15.0,4.999999999999999,7.999999999999998,11.000000000000002,4.999999999999999,11.000000000000002,7.999999999999998,11.000000000000002,4.999999999999999,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,15.0,7.999999999999998
totalWaitTaxi,15.000000000000002,32.0,15.000000000000002,18.800000000000004,15.000000000000002,15.000000000000002,22.8,32.0,22.8,15.000000000000002,15.000000000000002,18.800000000000004,15.000000000000002,18.800000000000004,11.0,15.000000000000002,15.000000000000002,15.000000000000002,15.000000000000002,22.8,15.000000000000002,32.0,32.0,11.0,15.000000000000002,18.800000000000004,15.000000000000002,15.000000000000002,15.000000000000002,18.800000000000004,18.800000000000004,32.0,15.000000000000002,22.8,11.0,15.000000000000002,18.800000000000004,11.0,18.800000000000004,15.000000000000002,18.800000000000004,11.0,15.000000000000002,15.000000000000002,15.000000000000002,15.000000000000002,15.000000000000002,22.8,15.000000000000002
totalWaitSingleTNC,9.299999999999999,13.299999999999999,9.299999999999999,11.4,9.299999999999999,9.299999999999999,11.5,13.299999999999999,11.5,9.299999999999999,9.299999999999999,11.4,9.299999999999999,11.4,6.000000000000001,9.299999999999999,9.299999999999999,9.299999999999999,9.299999999999999,11.5,9.299999999999999,13.299999999999999,13.299999999999999,6.000000000000001,9.299999999999999,11.4,9.299999999999999,9.299999999999999,9.299999999999999,11.4,11.4,13.299999999999999,9.299999999999999,11.5,6.000000000000001,9.299999999999999,11.4,6.000000000000001,11.4,9.299999999999999,11.4,6.000000000000001,9.299999999999999,9.299999999999999,9.299999999999999,9.299999999999999,9.299999999999999,11.5,9.299999999999999
totalWaitSharedTNC,12.999999999999996,20.0,12.999999999999996,16.0,12.999999999999996,12.999999999999996,20.0,20.0,20.0,12.999999999999996,12.999999999999996,16.0,12.999999999999996,16.0,9.999999999999998,12.999999999999996,12.999999999999996,12.999999999999996,12.999999999999996,20.0,12.999999999999996,20.0,20.0,9.999999999999998,12.999999999999996,16.0,12.999999999999996,12.999999999999996,12.999999999999996,16.0,16.0,20.0,12.999999999999996,20.0,9.999999999999998,12.999999999999996,16.0,9.999999999999998,16.0,12.999999999999996,16.0,9.999999999999998,12.999999999999996,12.999999999999996,12.999999999999996,12.999999999999996,12.999999999999996,20.0,12.999999999999996
_free_parking_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_dest_hourly_peak_parking_cost,4.415637100057452,0.07609186657735371,4.151053123830687,0.028760767121196906,0.0,0.0,0.5703359650245169,0.08071122969776985,0.6294278895942499,8.231694579322266,6.4512719889890295,0.14687755534028346,1.1048971565669534,2.2102464794070875,0.0,0.0,13.60322134354991,2.7622635048630224,0.0,0.8585188961570424,7.362960460811669,0.0,0.037091992420466735,248.25111144173528,2.8832694501520613,0.52849296410443,1.8968849375650585,10.424244398115068,1.3856961486126664,0.14212345742249022,0.8957456888098625,0.08071122969776985,4.971922357726849,0.6294278895942499,24.748981135274327,4.852925331984008,1.1412589915818718,43.20867084705409,0.14687755534028346,4.475042011805954,2.2102464794070875,0.0,7.804005984465263,13.60322134354991,3.7402717179356113,7.362960460811669,1.311869686545155,0.6424736559454339,7.798791618699689
_dest_hourly_offpeak_parking_cost,13.239540453374696,0.3081691205297637,5.869812677100072,0.9008515821885152,0.0,0.0,1.902620998939318,0.3333333107408625,1.761881339557421,22.18454601628564,12.096122178708596,0.9281414929424444,1.1862313819911543,6.053422461735185,0.0,0.0,20.030402530934104,6.279884336595298,0.0,2.6127473731832573,16.91592908881465,0.0,0.1302387870207721,492.2831623656424,11.098022678612649,1.9332566984239692,3.6227921562709335,19.982040433437408,0.0,1.370320971501019,2.6458472742938968,0.3333333107408625,14.277534743411605,1.761881339557421,64.68303130912265,11.172597439638,1.23047941359251,125.53500290481716,0.9281414929424444,11.666692755264961,6.053422461735185,0.0,14.80776574429516,20.030402530934104,13.578317479759411,16.91592908881465,4.22005481035668,2.099758634077669,11.000702856174087
_hourly_peak_parking_cost,4.415637100057452,0.07609186657735371,4.151053123830687,0.028760767121196906,0.0,0.0,0.5703359650245169,0.08071122969776985,0.6294278895942499,8.231694579322266,6.4512719889890295,0.14687755534028346,1.1048971565669534,2.2102464794070875,0.0,0.0,13.60322134354991,2.7622635048630224,0.0,0.8585188961570424,7.362960460811669,0.0,0.037091992420466735,248.25111144173528,2.8832694501520613,0.52849296410443,1.8968849375650585,10.424244398115068,1.3856961486126664,0.14212345742249022,0.8957456888098625,0.08071122969776985,4.971922357726849,0.6294278895942499,24.748981135274327,4.852925331984008,1.1412589915818718,43.20867084705409,0.14687755534028346,4.475042011805954,2.2102464794070875,0.0,7.804005984465263,13.60322134354991,3.7402717179356113,7.362960460811669,1.311869686545155,0.6424736559454339,7.798791618699689
