label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51
num_workers,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
value_of_time,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026
TAZ,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974
in_period,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM
out_period,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM
duration,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
number_of_participants,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
is_joint,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_parent_tour_mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work_tour_is_drive,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_tour_is_bike,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_tour_is_SOV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_mandatory,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_joint (2),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_indiv,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is_atwork_subtour,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_escort,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ivot,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394,0.11548777323603394
dest_topology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
terminal_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_density_index,0.07106486014216873,2.5655636636051176,2.9296216576357397,2.569306626893332,0.003179504105118668,4.655798814678917,0.69319189702219,3.8765476499959672,0.4813360574079987,2.514171810849144,1.5547153760726509,0.8952462613204736,1.1384437643790262,0.743014389286534,1.5375424631204286,2.2501699923599503,0.41061144751380024,0.5804815483401997,15.236245302918208,25.68693289264954,0.32336188959178286,0.6240650757841341,1.5753364769800993,27.758291727787267,1.0957027227730531,2.1015751835853473,0.3871621103876195,3.116539299407906,0.00021375941804838917,0.006165783014763674,2.4417155982836776,1.1535066974530306,0.05179168711395713,0.0489488656852829,0.5067625705604171,0.363427954261279,2.2501699923599503,1.4905612580306775,9.196858091649608,15.545939828322753,0.6861062229749499,0.7773036051631254,2.7693318042186847,0.2671846838514583,1.7554661535617926,0.018252904417513087,56.664928127273406,28.35188442665775,0.9723455513937209,9.93840557920621,2.8241281034801933
_walk_transit_origin,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
_walk_transit_destination,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
walk_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
drive_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
origin_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
destination_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
origin_density_measure,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227
dest_density_measure,2121.5936324823165,13564.281278623335,12850.178213380668,11570.783616438597,15609.585164580443,135687.21037542663,8179.310407731062,14127.290662116224,3383.089706414522,13873.84983510911,6921.863766278537,6648.197530888132,5399.278730151831,4049.782696089578,7832.066908559585,10780.950147746184,3112.6820162177946,2685.6651940130214,269083.94093496806,88715.22073275011,1367.8047311896423,5183.5337271578655,6356.574755049302,95097.42271652904,4971.168660665767,9155.22766825306,11435.751806181512,17861.249748847247,29.43644247158953,186.26076355342485,14301.358937442656,7979.483866790948,1070.5500524885701,861.1986968035313,2229.6563834003887,1655.6700568895728,10780.950147746184,6334.102041789524,37109.339322564534,49809.451855143554,2949.5672620212044,15357.201270933227,11194.125544943998,1164.6870498869798,9882.907496648433,2049.7025788347296,205915.41414432207,96364.83696813168,5147.169103746146,44303.562094442656,19584.16046513402
origin_density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dest_density,3,2,2,2,1,1,2,2,3,2,2,2,2,3,2,2,3,3,1,1,4,2,2,1,3,2,2,1,5,5,2,2,4,4,3,4,2,2,1,1,3,1,2,4,2,3,1,1,2,1,1
origin_zone_taxi_wait_time_mean,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
origin_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_taxi_wait_time_mean,13.3,9.5,9.5,9.5,5.5,5.5,9.5,9.5,13.3,9.5,9.5,9.5,9.5,13.3,9.5,9.5,13.3,13.3,5.5,5.5,17.3,9.5,9.5,5.5,13.3,9.5,9.5,5.5,26.5,26.5,9.5,9.5,17.3,17.3,13.3,17.3,9.5,9.5,5.5,5.5,13.3,5.5,9.5,17.3,9.5,13.3,5.5,5.5,9.5,5.5,5.5
dest_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origTaxiWaitTime,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
destTaxiWaitTime,13.300000000000002,9.500000000000002,9.500000000000002,9.500000000000002,5.5,5.5,9.500000000000002,9.500000000000002,13.300000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,13.300000000000002,9.500000000000002,9.500000000000002,13.300000000000002,13.300000000000002,5.5,5.5,17.3,9.500000000000002,9.500000000000002,5.5,13.300000000000002,9.500000000000002,9.500000000000002,5.5,26.5,26.5,9.500000000000002,9.500000000000002,17.3,17.3,13.300000000000002,17.3,9.500000000000002,9.500000000000002,5.5,5.5,13.300000000000002,5.5,9.500000000000002,17.3,9.500000000000002,13.300000000000002,5.5,5.5,9.500000000000002,5.5,5.5
origin_zone_singleTNC_wait_time_mean,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
origin_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_singleTNC_wait_time_mean,8.4,6.3,6.3,6.3,3.0,3.0,6.3,6.3,8.4,6.3,6.3,6.3,6.3,8.4,6.3,6.3,8.4,8.4,3.0,3.0,8.5,6.3,6.3,3.0,8.4,6.3,6.3,3.0,10.3,10.3,6.3,6.3,8.5,8.5,8.4,8.5,6.3,6.3,3.0,3.0,8.4,3.0,6.3,8.5,6.3,8.4,3.0,3.0,6.3,3.0,3.0
dest_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSingleTNCWaitTime,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004
destSingleTNCWaitTime,8.4,6.299999999999999,6.299999999999999,6.299999999999999,3.0000000000000004,3.0000000000000004,6.299999999999999,6.299999999999999,8.4,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,8.4,6.299999999999999,6.299999999999999,8.4,8.4,3.0000000000000004,3.0000000000000004,8.5,6.299999999999999,6.299999999999999,3.0000000000000004,8.4,6.299999999999999,6.299999999999999,3.0000000000000004,10.299999999999999,10.299999999999999,6.299999999999999,6.299999999999999,8.5,8.5,8.4,8.5,6.299999999999999,6.299999999999999,3.0000000000000004,3.0000000000000004,8.4,3.0000000000000004,6.299999999999999,8.5,6.299999999999999,8.4,3.0000000000000004,3.0000000000000004,6.299999999999999,3.0000000000000004,3.0000000000000004
origin_zone_sharedTNC_wait_time_mean,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
origin_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_zone_sharedTNC_wait_time_mean,11.0,8.0,8.0,8.0,5.0,5.0,8.0,8.0,11.0,8.0,8.0,8.0,8.0,11.0,8.0,8.0,11.0,11.0,5.0,5.0,15.0,8.0,8.0,5.0,11.0,8.0,8.0,5.0,15.0,15.0,8.0,8.0,15.0,15.0,11.0,15.0,8.0,8.0,5.0,5.0,11.0,5.0,8.0,15.0,8.0,11.0,5.0,5.0,8.0,5.0,5.0
dest_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSharedTNCWaitTime,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999
destSharedTNCWaitTime,11.000000000000002,7.999999999999998,7.999999999999998,7.999999999999998,4.999999999999999,4.999999999999999,7.999999999999998,7.999999999999998,11.000000000000002,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,11.000000000000002,7.999999999999998,7.999999999999998,11.000000000000002,11.000000000000002,4.999999999999999,4.999999999999999,15.0,7.999999999999998,7.999999999999998,4.999999999999999,11.000000000000002,7.999999999999998,7.999999999999998,4.999999999999999,15.0,15.0,7.999999999999998,7.999999999999998,15.0,15.0,11.000000000000002,15.0,7.999999999999998,7.999999999999998,4.999999999999999,4.999999999999999,11.000000000000002,4.999999999999999,7.999999999999998,15.0,7.999999999999998,11.000000000000002,4.999999999999999,4.999999999999999,7.999999999999998,4.999999999999999,4.999999999999999
totalWaitTaxi,18.800000000000004,15.000000000000002,15.000000000000002,15.000000000000002,11.0,11.0,15.000000000000002,15.000000000000002,18.800000000000004,15.000000000000002,15.000000000000002,15.000000000000002,15.000000000000002,18.800000000000004,15.000000000000002,15.000000000000002,18.800000000000004,18.800000000000004,11.0,11.0,22.8,15.000000000000002,15.000000000000002,11.0,18.800000000000004,15.000000000000002,15.000000000000002,11.0,32.0,32.0,15.000000000000002,15.000000000000002,22.8,22.8,18.800000000000004,22.8,15.000000000000002,15.000000000000002,11.0,11.0,18.800000000000004,11.0,15.000000000000002,22.8,15.000000000000002,18.800000000000004,11.0,11.0,15.000000000000002,11.0,11.0
totalWaitSingleTNC,11.4,9.299999999999999,9.299999999999999,9.299999999999999,6.000000000000001,6.000000000000001,9.299999999999999,9.299999999999999,11.4,9.299999999999999,9.299999999999999,9.299999999999999,9.299999999999999,11.4,9.299999999999999,9.299999999999999,11.4,11.4,6.000000000000001,6.000000000000001,11.5,9.299999999999999,9.299999999999999,6.000000000000001,11.4,9.299999999999999,9.299999999999999,6.000000000000001,13.299999999999999,13.299999999999999,9.299999999999999,9.299999999999999,11.5,11.5,11.4,11.5,9.299999999999999,9.299999999999999,6.000000000000001,6.000000000000001,11.4,6.000000000000001,9.299999999999999,11.5,9.299999999999999,11.4,6.000000000000001,6.000000000000001,9.299999999999999,6.000000000000001,6.000000000000001
totalWaitSharedTNC,16.0,12.999999999999996,12.999999999999996,12.999999999999996,9.999999999999998,9.999999999999998,12.999999999999996,12.999999999999996,16.0,12.999999999999996,12.999999999999996,12.999999999999996,12.999999999999996,16.0,12.999999999999996,12.999999999999996,16.0,16.0,9.999999999999998,9.999999999999998,20.0,12.999999999999996,12.999999999999996,9.999999999999998,16.0,12.999999999999996,12.999999999999996,9.999999999999998,20.0,20.0,12.999999999999996,12.999999999999996,20.0,20.0,16.0,20.0,12.999999999999996,12.999999999999996,9.999999999999998,9.999999999999998,16.0,9.999999999999998,12.999999999999996,20.0,12.999999999999996,16.0,9.999999999999998,9.999999999999998,12.999999999999996,9.999999999999998,9.999999999999998
_free_parking_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_dest_hourly_peak_parking_cost,2.143767226746658,13.087330117468117,6.049076934369444,13.556454183020891,16.044019827305867,155.33389718332913,0.0,23.18846510931429,0.955036048500124,3.619581222542952,4.072382165239256,0.0,2.409826726688263,2.273291915222364,4.971922357726849,4.852925331984008,1.1412589915818718,2.7204025923213537,322.70349558070126,165.94370782035475,2.013809156547968,3.406761812058768,6.547036656269847,182.39358040857925,4.4806810053865815,6.368484513624972,0.0,16.774647763868643,0.022042242767881744,0.07609186657735371,20.175713901973698,7.924987065534272,0.2679233764909356,0.19307190024502352,2.9463810005014537,1.1228577565357136,4.852925331984008,4.772908935512062,43.20867084705409,116.79605931250357,2.2102464794070875,0.0,15.831698780378636,0.8585188961570424,9.302248096916156,2.2100440108722292,479.3452400040544,248.25111144173528,1.8268267011008013,56.25244466603306,5.196848563651008
_dest_hourly_offpeak_parking_cost,6.742302385902315,38.945280613981545,22.42011169563797,22.952171421580925,50.701441851536245,465.22545941573776,0.0,63.56704500269581,3.2742461098441984,4.633162505721809,11.459026875894361,0.0,7.907182540202102,6.967111079747374,14.277534743411605,11.172597439638,1.23047941359251,8.316184433502134,903.5389058501717,494.18584313311095,5.673589180788232,11.967460128222873,18.629934897481057,485.23429209876235,14.41424683902462,18.06177034713229,0.0,41.87338788908754,0.06795036537689905,0.3081691205297637,46.63184565329331,23.246007589354353,0.0,0.9306843109468697,8.332259172729966,2.9199542411078863,11.172597439638,13.273450513295971,125.53500290481716,294.7579157160455,6.053422461735185,0.0,35.476753808977364,2.6127473731832573,24.04500748492572,6.827829972953872,1017.6927520163105,492.2831623656424,3.3681415700178365,169.68101435938982,0.8716508472901534
