label,value_1,value_2
origSharedTNCWaitTime,4.999999999999999,4.999999999999999
destSharedTNCWaitTime,7.999999999999998,7.999999999999998
totalWaitTaxi,15.000000000000002,15.000000000000002
totalWaitSingleTNC,9.299999999999999,9.299999999999999
totalWaitSharedTNC,12.999999999999996,12.999999999999996
_free_parking_available,False,False
_dest_hourly_peak_parking_cost,2.409826726688263,4.852925331984008
_dest_hourly_offpeak_parking_cost,7.907182540202102,11.172597439638
_hourly_peak_parking_cost,2.409826726688263,4.852925331984008
_hourly_offpeak_parking_cost,7.907182540202102,11.172597439638
daily_parking_cost,31.32774744694742,43.67632798785608
distance,3.3526482582092285,0.7497288584709167
sov_available,True,True
sovtoll_available,True,True
hov2_available,True,True
hov2toll_available,True,True
hov3_available,True,True
hov3toll_available,True,True
walk_local_available,True,True
walk_commuter_available,False,False
walk_express_available,False,False
walk_heavyrail_available,False,False
walk_lrf_available,False,False
walk_ferry_available,False,False
drive_local_available,False,False
drive_commuter_available,False,False
drive_express_available,False,False
drive_heavyrail_available,False,False
drive_lrf_available,False,False
drive_ferry_available,False,False
destination_in_cbd,0,0
