label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55,value_56,value_57,value_58,value_59,value_60,value_61,value_62,value_63,value_64,value_65,value_66,value_67,value_68,value_69,value_70,value_71,value_72,value_73
total_parking_cost,15.66387372347371,19.81046713679278,18.688412190658433,17.049598427162053,15.734935452184954,15.66387372347371,17.769877694399266,16.868787086817843,16.577724671938483,15.975160583648222,18.0883365415491,15.678524394163269,18.090336389465715,18.05032819122974,46.05656123246469,74.06190337972549,16.768996963177255,17.115648219905133,15.694076254894997,16.093133171552232,19.345353953879545,20.314997771931786,16.768895728909825,106.86066392776334,30.63030141581295,1.4416347250760306,0.0,0.020235860876865682,0.0,0.31471394479712494,1.4856686970671606,2.424462818075392,0.014650670689559357,0.014875231615934806,2.386454467756031,0.5706294957909359,30.392687508990974,21.604335423527044,3.9020029922326316,0.0,6.801610671774955,2.0891570322096142,0.0,7.768343877736888,2.6470107712425266,3.2735183281349234,0.9480615509247383,0.6559348432725775,0.0,0.13389340119399604,18.137034912984735,28.145035193926894,21.83816399392804,24.26262681200343,34.2126545615652,24.22461846168407,22.408793489718974,23.198365290088717,52.23085150291901,84.31472069652791,48.51967370304778,104.81001790410541,80.23619365017983,22.943287233631583,28.639774665702994,24.485174765170566,22.26742344200656,50.52808757042105,154.39121815148056,113.03495419821766,28.374609229759415,24.28521645460637,25.86713394073134
trip_topology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
density_index,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.1384437643790262,1.2706014983810465,0.009677916029215371,0.04613136211524726,0.8952462613204736,0.08422721138714565,0.7439455366606591,1.5044171303564995,6.888682355160898e-05,0.00015555149123387964,1.4905612580306775,0.41061144751380024,8.641323828193656,9.196858091649608,0.9150624410831907,1.0445894650696848,2.9382624416326895,1.286064299007716,0.5093320669991293,3.9396779360394243,1.1282185653039216,1.5753364769800993,0.555614317250145,0.5442017690500491,0.010289415842116671,0.013360181013976355,9.875151900202708,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503,2.2501699923599503
origin_density_index,1.3178868668483859,2.450942355381286,2.9296216576357397,1.2086821477604452,0.41139277313210043,0.8952462613204736,0.6934566440748959,1.1384437643790262,0.6045683805115863,0.23649637357560627,1.5044171303564995,6.888682355160898e-05,2.2501699923599503,1.4905612580306775,8.641323828193656,15.545939828322753,0.6861062229749499,0.5505291917746615,0.005869520825114764,0.2671846838514583,2.0781084300246624,1.7554661535617926,0.018252904417513087,27.758291727787267,2.507924182934245,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,5.077359114899701,0.24928747193526596,1.5044171303564995,3.6620787866378652,1.4905612580306775,0.41061144751380024,0.5804815483401997,8.641323828193656,16.781738888841733,5.703685408647094,25.68693289264954,15.545939828322753,0.6861062229749499,2.9382624416326895,1.1282185653039216,0.2671846838514583,9.705946888097559,37.197582918858465,27.758291727787267,2.573343394515835,1.9696172745412963,2.252813995867158
walk_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
drive_transit_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
origin_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
destination_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
origin_density_measure,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,5399.278730151831,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,15357.201270933227,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184,10780.950147746184
origin_density,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
origin_zone_taxi_wait_time_mean,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
origin_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origTaxiWaitTime,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002,9.500000000000002
origin_zone_singleTNC_wait_time_mean,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
origin_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSingleTNCWaitTime,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999,6.299999999999999
origin_zone_sharedTNC_wait_time_mean,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
origin_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSharedTNCWaitTime,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,4.999999999999999,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998,7.999999999999998
sov_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov2_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov3_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
sovtoll_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov2toll_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hov3toll_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
walk_local_available,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
walk_lrf_available,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_express_available,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_heavyrail_available,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_commuter_available,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_local_available_outbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_local_available_inbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_lrf_available_outbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_lrf_available_inbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_express_available_outbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_express_available_inbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_heavyrail_available_outbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_heavyrail_available_inbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_commuter_available_outbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_commuter_available_inbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
walk_ferry_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
drive_ferry_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_joint,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_indiv,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is_atwork_subtour,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
c_cost,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648
parent_tour_mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work_tour_is_SOV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_tour_is_bike,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
i_tour_mode,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
tour_mode_is_SOV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_auto,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_walk,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_bike,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_walk_transit,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
tour_mode_is_drive_transit,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tour_mode_is_ride_hail,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
inbound,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
first_trip,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
